"Name","ID","Result","Reason","GroupType"
"SecAz-DCS-RSH-Partner-BOC-Business-Analyst-Approved-Users-RDEV","dee75e6c-62f2-4c24-bfd5-0e95cf02328a","Success","","Database"
"SecAz-DCS-RSH-Partner-BOC-Business-Data-Consumer-Approved-Users-RDEV","217326dd-3739-4801-99cf-969797133bd3","Success","","Database"
"SecAz-DCS-RSH-Partner-BOC-Data-Engineer-Approved-Users-RDEV","3582e73e-2c74-4eb7-87fb-372f249a6d93","Success","","Database"
"SecAz-DCS-RSH-Partner-BOC-Returns-Admin-Approved-Users-RDEV","4464194f-36f3-48d7-ab21-7422b4ef7fb8","Success","","Database"
"SecAz-DCS-RSH-Partner-BOC-Returns-Developer-Approved-Users-RDEV","8b4b919b-0429-43b3-9c64-6e2a9580fbf7","Success","","Database"
"SecAz-DCS-RSH-Partner-CDIC-Business-Analyst-Approved-Users-RDEV","fea56fbc-85eb-4530-acf7-a27a32cc835a","Success","","Database"
"SecAz-DCS-RSH-Partner-CDIC-Business-Data-Consumer-Approved-Users-RDEV","906b061d-17c2-4e5b-81d8-a1459ef8225b","Success","","Database"
"SecAz-DCS-RSH-Partner-CDIC-Data-Engineer-Approved-Users-RDEV","6b343e39-3540-4ae8-81a6-bb522932868b","Success","","Database"
"SecAz-DCS-RSH-Partner-CDIC-Returns-Admin-Approved-Users-RDEV","a060e15b-1241-437d-bb23-59e1c33ad5ae","Success","","Database"
"SecAz-DCS-RSH-Partner-CDIC-Returns-Developer-Approved-Users-RDEV","fbb7dd4b-d72e-4a2c-9fe3-0b70f24b7bb1","Success","","Database"
"SecAz-DCS-RSH-Partner-OSFI-Business-Analyst-Approved-Users-RDEV","bc2a25c6-6c3b-42be-9328-ba7348c04184","Success","","Database"
"SecAz-DCS-RSH-Partner-OSFI-Business-Data-Consumer-Approved-Users-RDEV","e55f06a3-847c-4741-b9f9-0ce46e208aff","Success","","Database"
"SecAz-DCS-RSH-Partner-OSFI-Data-Engineer-Approved-Users-RDEV","13c521bb-c557-47e5-9b93-2b64b506a30e","Success","","Database"
"SecAz-DCS-RSH-Partner-OSFI-Returns-Admin-Approved-Users-RDEV","0c51ebae-bebb-4b77-bae5-d51e8aab4269","Success","","Database"
"SecAz-DCS-RSH-Partner-OSFI-Returns-Developer-Approved-Users-RDEV","66f6d320-4cca-4ef5-942f-94c7c2d3a4ba","Success","","Database"
"SecAz-DCS-RSH-Partner-OSFI-Technical_Admin-Approved-Users-RDEV","5f7d1918-a451-45e3-99ac-1ef10898d49f","Success","","Database"
"SG-DCS-Partner-boc-Approved-LRAs","e2b98355-e8c6-4e33-865b-78ba155f1812","Success","","Template"
"SG-DCS-Partner-boc-Requesting-Users","34dc03d3-e6d8-4817-8605-e9a4b3dc5ecc","Success","","Template"
"SG-DCS-Partner-cdic-Approved-LRAs","8eed8ec1-f9a9-4653-a808-2b4cd14489c8","Success","","Template"
"SG-DCS-Partner-cdic-Requesting-Users","c18b1a70-4c5f-4847-b549-5536c282695b","Success","","Template"
"SG-DCS-Partner-osfi-Approved-LRAs","c0adfb7d-ad4d-4228-b786-e321a2f93a22","Success","","Template"
"SG-DCS-Partner-osfi-Requesting-Users","a500cb0b-9705-4093-9057-416235b8432e","Success","","Template"
