"Name","ID","Result","Reason","GroupType"
"SecAz-DCS-RSH-Partner-BOC-Business-Analyst-Approved-Users-RDEV","SIMULATED","Success","","Database"
"SecAz-DCS-RSH-Partner-BOC-Business-Data-Consumer-Approved-Users-RDEV","SIMULATED","Success","","Database"
"SecAz-DCS-RSH-Partner-BOC-Data-Engineer-Approved-Users-RDEV","SIMULATED","Success","","Database"
"SecAz-DCS-RSH-Partner-BOC-Returns-Admin-Approved-Users-RDEV","SIMULATED","Success","","Database"
"SecAz-DCS-RSH-Partner-BOC-Returns-Developer-Approved-Users-RDEV","SIMULATED","Success","","Database"
"SecAz-DCS-RSH-Partner-CDIC-Business-Analyst-Approved-Users-RDEV","SIMULATED","Success","","Database"
"SecAz-DCS-RSH-Partner-CDIC-Business-Data-Consumer-Approved-Users-RDEV","SIMULATED","Success","","Database"
"SecAz-DCS-RSH-Partner-CDIC-Data-Engineer-Approved-Users-RDEV","SIMULATED","Success","","Database"
"SecAz-DCS-RSH-Partner-CDIC-Returns-Admin-Approved-Users-RDEV","SIMULATED","Success","","Database"
"SecAz-DCS-RSH-Partner-CDIC-Returns-Developer-Approved-Users-RDEV","SIMULATED","Success","","Database"
"SecAz-DCS-RSH-Partner-OSFI-Business-Analyst-Approved-Users-RDEV","SIMULATED","Success","","Database"
"SecAz-DCS-RSH-Partner-OSFI-Business-Data-Consumer-Approved-Users-RDEV","SIMULATED","Success","","Database"
"SecAz-DCS-RSH-Partner-OSFI-Data-Engineer-Approved-Users-RDEV","SIMULATED","Success","","Database"
"SecAz-DCS-RSH-Partner-OSFI-Returns-Admin-Approved-Users-RDEV","SIMULATED","Success","","Database"
"SG-DCS-Partner-boc-Approved-LRAs","SIMULATED","Success","","Template"
"SG-DCS-Partner-boc-Requesting-Users","SIMULATED","Success","","Template"
"SG-DCS-Partner-cdic-Approved-LRAs","SIMULATED","Success","","Template"
"SG-DCS-Partner-cdic-Requesting-Users","SIMULATED","Success","","Template"
"SG-DCS-Partner-osfi-Approved-LRAs","SIMULATED","Success","","Template"
"SG-DCS-Partner-osfi-Requesting-Users","SIMULATED","Success","","Template"
