"Name","ID","Result","Reason","GroupType"
"SecAz-DCS-RSH-Partner-BOC-Business-Analyst-Approved-Users-RDEV","64b010c4-8e62-45db-b46e-b55131696564","Success","","Database"
"SecAz-DCS-RSH-Partner-BOC-Business-Data-Consumer-Approved-Users-RDEV","3bafad1c-fbd6-4b05-a544-ed3850ce9d63","Success","","Database"
"SecAz-DCS-RSH-Partner-BOC-Data-Engineer-Approved-Users-RDEV","60c6ed08-e09e-4b29-9777-108558629ccc","Success","","Database"
"SecAz-DCS-RSH-Partner-BOC-Returns-Admin-Approved-Users-RDEV","a8c67f58-f0db-4e24-9e3b-adb99fec429b","Success","","Database"
"SecAz-DCS-RSH-Partner-BOC-Returns-Developer-Approved-Users-RDEV","5e2ba91d-1c5c-4954-976f-95f1ca266385","Success","","Database"
"SecAz-DCS-RSH-Partner-CDIC-Business-Analyst-Approved-Users-RDEV","38ea7521-c538-4649-a6d1-b4fe29c6b5b0","Success","","Database"
"SecAz-DCS-RSH-Partner-CDIC-Business-Data-Consumer-Approved-Users-RDEV","b3f389fa-f8bc-470b-aaa4-c6f9fa9229e9","Success","","Database"
"SecAz-DCS-RSH-Partner-CDIC-Data-Engineer-Approved-Users-RDEV","24146619-39af-4387-8229-50996dd8b867","Success","","Database"
"SecAz-DCS-RSH-Partner-CDIC-Returns-Admin-Approved-Users-RDEV","745d86c3-d754-4b04-9140-9d5b250507bc","Success","","Database"
"SecAz-DCS-RSH-Partner-CDIC-Returns-Developer-Approved-Users-RDEV","eb4217dd-f8db-4779-87aa-d50a7596c583","Success","","Database"
"SecAz-DCS-RSH-Partner-OSFI-Business-Analyst-Approved-Users-RDEV","ec29adac-057b-4de7-a6e4-d944db78b37f","Success","","Database"
"SecAz-DCS-RSH-Partner-OSFI-Business-Data-Consumer-Approved-Users-RDEV","3e9a135a-a006-4223-94b1-f7367aaf7173","Success","","Database"
"SecAz-DCS-RSH-Partner-OSFI-Data-Engineer-Approved-Users-RDEV","736bbd81-9f4f-46d0-a620-fc44263dc360","Success","","Database"
"SecAz-DCS-RSH-Partner-OSFI-Returns-Admin-Approved-Users-RDEV","76741247-3692-4903-9100-900a84306600","Success","","Database"
"SecAz-DCS-RSH-Partner-OSFI-Returns-Developer-Approved-Users-RDEV","085a2957-5a72-46d8-b9d0-cb9c09e7187e","Success","","Database"
"SecAz-DCS-RSH-Partner-OSFI-Technical_Admin-Approved-Users-RDEV","ce6286a7-550c-4d31-b419-90308c44e1b1","Success","","Database"
"SG-DCS-Filer-Approved-LRAs-boc","21002fb3-fae5-41d3-8d52-bd38bdef76d3","Success","","Template"
"SG-DCS-Filer-Requesting-Users-boc","24891eee-efe2-444c-8343-26e044b801c6","Success","","Template"
"SG-DCS-Partner-boc-Approved-LRAs","2a33b756-a4ba-49a0-bd14-15f120474051","Success","","Template"
"SG-DCS-Partner-boc-Requesting-Users","2679f3d5-a9a6-450a-a7dc-e49e24f886ba","Success","","Template"
"SG-DCS-Filer-Approved-LRAs-cdic","764fc0d8-1397-4bdd-a0ed-c216bc907be1","Success","","Template"
"SG-DCS-Filer-Requesting-Users-cdic","ae56180c-3569-4a15-b9dc-ff0caac1f076","Success","","Template"
"SG-DCS-Partner-cdic-Approved-LRAs","838c8ca6-dc08-4a4a-add3-a0735087ebd5","Success","","Template"
"SG-DCS-Partner-cdic-Requesting-Users","5f938157-1a9b-4135-ae26-1175548648d8","Success","","Template"
"SG-DCS-Filer-Approved-LRAs-osfi","26be5e0c-ad24-4286-b5ff-93ba250dbd81","Success","","Template"
"SG-DCS-Filer-Requesting-Users-osfi","742006a5-61a8-45d5-94b9-7b16687767cd","Success","","Template"
"SG-DCS-Partner-osfi-Approved-LRAs","ba951f52-667e-497a-acac-4da8fa5dbc68","Success","","Template"
"SG-DCS-Partner-osfi-Requesting-Users","fb8e9171-02de-4b69-a106-1bfb063b42a7","Success","","Template"
