"CatalogName","FullGroupName","EntraGroupObjectId","Action","Status","Message"
"IGCatalog-DCS-Partner-RDEV","SecAz-DCS-RSH-Partner-BOC-Business-Analyst-Approved-Users-RDEV","db675dda-7513-419a-b139-03304e012912","Simulated","Success","Would add catalog resource"
"IGCatalog-DCS-Partner-RDEV","SecAz-DCS-RSH-Partner-BOC-Business-Data-Consumer-Approved-Users-RDEV","7540d79e-dc3a-4f90-82c9-ff5027341d78","Simulated","Success","Would add catalog resource"
"IGCatalog-DCS-Partner-RDEV","SecAz-DCS-RSH-Partner-BOC-Data-Engineer-Approved-Users-RDEV","2501c064-4fe4-460c-a647-5a8a9424ee75","Simulated","Success","Would add catalog resource"
"IGCatalog-DCS-Partner-RDEV","SecAz-DCS-RSH-Partner-BOC-Returns-Admin-Approved-Users-RDEV","7a110ef4-d5e7-466b-87b2-a193b02de9dd","Simulated","Success","Would add catalog resource"
"IGCatalog-DCS-Partner-RDEV","SecAz-DCS-RSH-Partner-BOC-Returns-Developer-Approved-Users-RDEV","0d741b19-9333-48b9-9564-914f015233b5","Simulated","Success","Would add catalog resource"
"IGCatalog-DCS-Partner-RDEV","SecAz-DCS-RSH-Partner-CDIC-Business-Analyst-Approved-Users-RDEV","f1b90bd0-5b20-4305-8759-f384e481386d","Simulated","Success","Would add catalog resource"
"IGCatalog-DCS-Partner-RDEV","SecAz-DCS-RSH-Partner-CDIC-Business-Data-Consumer-Approved-Users-RDEV","99044a1b-c2f2-45c4-8185-29977df3c149","Simulated","Success","Would add catalog resource"
"IGCatalog-DCS-Partner-RDEV","SecAz-DCS-RSH-Partner-CDIC-Data-Engineer-Approved-Users-RDEV","0d69ef61-ba29-44f1-aef7-149040cf3f53","Simulated","Success","Would add catalog resource"
"IGCatalog-DCS-Partner-RDEV","SecAz-DCS-RSH-Partner-CDIC-Returns-Admin-Approved-Users-RDEV","e8ba61ee-730a-4f4b-956d-599365d6ca3f","Simulated","Success","Would add catalog resource"
"IGCatalog-DCS-Partner-RDEV","SecAz-DCS-RSH-Partner-CDIC-Returns-Developer-Approved-Users-RDEV","0256f1bd-70ee-43a3-9373-a046309ce6a2","Simulated","Success","Would add catalog resource"
"IGCatalog-DCS-Partner-RDEV","SecAz-DCS-RSH-Partner-OSFI-Business-Analyst-Approved-Users-RDEV","20d6c2fe-3944-4b68-ae0f-f5d3b0b29e50","Simulated","Success","Would add catalog resource"
"IGCatalog-DCS-Partner-RDEV","SecAz-DCS-RSH-Partner-OSFI-Business-Data-Consumer-Approved-Users-RDEV","fad36385-ff12-4864-a402-67a6c486fdb7","Simulated","Success","Would add catalog resource"
"IGCatalog-DCS-Partner-RDEV","SecAz-DCS-RSH-Partner-OSFI-Data-Engineer-Approved-Users-RDEV","056fa1ba-73aa-4628-bb27-0e559e6eda9d","Simulated","Success","Would add catalog resource"
"IGCatalog-DCS-Partner-RDEV","SecAz-DCS-RSH-Partner-OSFI-Returns-Admin-Approved-Users-RDEV","242e6f56-ca78-4869-8fb8-8f8bf6a20800","Simulated","Success","Would add catalog resource"
