"Catalog","CreatedDateTime","Id","RequestType","Resource","State","AdditionalProperties"
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:15:58 AM","91bed762-31f6-404a-b328-171fb350fb72","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:16:01 AM","8d9a801b-7926-49b3-8949-1dbbdade14ed","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:16:02 AM","29ea1851-4a49-4512-8211-b2b06a572418","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:16:05 AM","9aa08ba1-1b0f-4598-bc6f-e7d74180ffe8","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:16:06 AM","8369bb6b-a951-44b0-a4ae-81769b699962","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:16:07 AM","8b2b30ad-e217-422e-b0a4-def31f679828","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:16:09 AM","f84e8b92-09c7-4ce4-a7c4-3d82da1e4604","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:16:10 AM","cfe064c8-a03a-45ff-9a37-4ee095ade51d","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:16:11 AM","61f47aba-4842-42fb-b5b7-16b515865691","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:16:12 AM","367bf54b-d3ca-4a80-b247-43f618f7110c","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:16:14 AM","0e6d26a2-349e-40b9-a6db-519462d25fb6","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:16:15 AM","fc99e6dd-54a0-4484-b5bf-bc9843cb4ae8","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:16:16 AM","726c6276-7a3f-42b0-80cb-3cc5b4243ba1","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:16:18 AM","dbde7eee-d810-44f2-b1e0-ed6631c50a94","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
